tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output,arp_loss_rate,icmp_loss_rate,igmpv2_loss_rate,host_packet_loss_rate
_fixed_all_192,2078,22,-6.1730459325273435,3110878,0.44441114285714284,0.031400927495663145,192,192,192,192,192,192,192,192,0.6186371767767117,0.7006124329304645,0.6256874271936717,0.7020457932529468
_fixed_all_192,2078,23,-5.501119315902118,3585693.0000000005,0.5122418571428572,0.028410576339225474,192,192,192,192,192,192,192,192,0.5515205893464299,0.6396732458211352,0.5744746162927981,0.6396760177576273
_fixed_all_192,2078,24,-4.3860451902979305,4289831,0.612833,0.02375211822169059,192,192,192,192,192,192,192,192,0.45619922288943837,0.5284351819145179,0.48927232396992715,0.525644547345289
_fixed_all_256,2082,1,-5.34593317734483,5446466,0.7780665714285714,0.0058868937409682085,256,256,256,256,256,256,256,256,0.0017602838230824022,0.8248936992655586,0.7986078886310904,0.8243295463327923
_fixed_all_256,2082,2,-5.360972150049941,5412753,0.7732504285714286,0.005790240969322926,256,256,256,256,256,256,256,256,0,0.825045030934294,0.8040688575899844,0.8245751429242697
_fixed_all_256,2082,3,-5.517461619623435,4554152,0.6505931428571429,0.005860648223598435,256,256,256,256,256,256,256,256,0.00009221589368049905,0.8293224731580896,0.8056762503466766,0.8321309655937846
_fixed_all_256,2082,4,-5.465012134933303,4683014,0.669002,0.005898241123795559,256,256,256,256,256,256,256,256,0.00025850835404038003,0.8241631054131054,0.806339595761731,0.8228444444444445
_fixed_all_256,2082,5,-5.367103928619307,5344326,0.7634751428571429,0.005897601189929247,256,256,256,256,256,256,256,256,0,0.8256474064857299,0.8036270236612703,0.8229571984435797
_fixed_all_256,2082,6,-5.331430584609166,5311337,0.7587624285714286,0.005708637084904792,256,256,256,256,256,256,256,256,0.8021127328441254,0.0005300328713368452,0.8086016299523925,0.8248328096043832
_fixed_all_256,2082,7,-5.427578968238261,5002798,0.7146854285714286,0.006090599495919347,256,256,256,256,256,256,256,256,0.8061969938701822,0.006353296605651324,0.812604900973481,0.8317505672745609
_fixed_all_256,2082,8,-5.358156100659922,5064214,0.7234591428571429,0.0059648418565196315,256,256,256,256,256,256,256,256,0.7978411848380889,0.005797426508232931,0.8077372994652406,0.821270186595264
_fixed_all_256,2082,9,-5.316597917098066,5326801,0.7609715714285714,0.005743383437845814,256,256,256,256,256,256,256,256,0.8034235668789809,0.0002041024594346362,0.805869254016224,0.8215308720560153
_fixed_all_256,2082,10,-5.349388162528923,5246325,0.749475,0.005817181281978397,256,256,256,256,256,256,256,256,0.801594403318962,0.0026643443876950596,0.808640468635587,0.8266460486693253
_fixed_all_256,2082,11,-5.492236093005576,4640115,0.6628735714285714,0.005928796419098143,256,256,256,256,256,256,256,256,0.8006292134831461,0.8312786826239539,0.0008259354384917886,0.829310034228067
_fixed_all_256,2082,12,-5.32493114859042,5430376,0.775768,0.005853174603174603,256,256,256,256,256,256,256,256,0.7962507682851875,0.8232626076260763,0,0.8207662835249042
_fixed_all_256,2082,13,-5.489910870360474,4669347,0.6670495714285715,0.0058619901637655784,256,256,256,256,256,256,256,256,0.801931059375564,0.8304030294833649,0.00047630136116344544,0.8299737864955257
_fixed_all_256,2082,14,-5.416122607139492,5006646,0.7152351428571428,0.005866200131042516,256,256,256,256,256,256,256,256,0.7992459153749476,0.8277187996321993,0.0003356665449052729,0.8252427184466019
_fixed_all_256,2082,15,-5.391059656163058,5130103,0.7328718571428572,0.006132549831892411,256,256,256,256,256,256,256,256,0.7959032576505429,0.8229841686490034,0.00829895516058141,0.8223862238622386
_fixed_all_256,2082,16,-5.304947542527818,5310449,0.7586355714285714,0.005735444375173178,256,256,256,256,256,256,256,256,0.7978350843680356,0.8230983671843887,0.8044206830513885,0.00007911097874241465
_fixed_all_256,2082,17,-5.34604344485668,5212398,0.7446282857142857,0.005780069641170916,256,256,256,256,256,256,256,256,0.8044560515792051,0.8239039921626256,0.8064252431946375,0.0014834052919180478
_fixed_all_256,2082,18,-5.326271445806096,5242147,0.7488781428571428,0.005725674582708177,256,256,256,256,256,256,256,256,0.8002610966057441,0.8185898482128284,0.8101059494702526,0.0011029411764705882
_fixed_all_256,2082,19,-5.3209757444978205,5279019,0.7541455714285714,0.005791950457174846,256,256,256,256,256,256,256,256,0.80605434609884,0.8189552357477936,0.8050389445239231,0
_fixed_all_256,2082,20,-5.601371592365465,4106380.9999999995,0.5866258571428571,0.006956867238320521,256,256,256,256,256,256,256,256,0.804184440381881,0.8331638877592518,0.8109892342067845,0.02686141745541137
_fixed_all_256,2082,21,-4.995592714965961,5001052,0.714436,0.02702306189165274,256,256,256,256,256,256,256,256,0.5312167165390272,0.6046503768292271,0.5450888933955249,0.6030554992226053
_fixed_all_256,2082,22,-4.668864122738872,5363927,0.7662752857142857,0.025754288149945074,256,256,256,256,256,256,256,256,0.5009205494972383,0.5713723576723907,0.5293404881426346,0.5724223680689992
_fixed_all_256,2082,23,-6.638933732082906,3435688,0.49081257142857143,0.03377714673524789,256,256,256,256,256,256,256,256,0.6641517780344548,0.7494777201563153,0.6890494091054273,0.7492196141083938
_fixed_all_256,2082,24,-6.3707252179777925,3688501.9999999995,0.5269288571428571,0.03263768502466995,256,256,256,256,256,256,256,256,0.6501467082339997,0.7180374452872562,0.6718997089358971,0.718977767591107
_train_best_model,2088,1,0.6877384490943677,5177203,0.7396004285714286,0.00005045109211775878,96,176,176,224,16,16,16,16,0,0.008583346703032247,0.003924081044286058,0.008237364043506078
_train_best_model,2088,2,0.5619249226404117,4979104,0.7113005714285714,0.00014466160015843153,96,240,176,224,16,16,16,16,0,0.020930232558139535,0.0130767949358654,0.025743232021258926
_train_best_model,2088,3,0.536997914569785,4902516,0.7003594285714285,0.00015662590216519647,96,240,176,224,16,16,16,16,0,0.024835708799180678,0.012885058452086356,0.0276238383493904
_train_best_model,2088,4,0.6747474021873022,5148863,0.7355518571428571,0.000059349617773530814,96,240,176,224,16,16,16,16,0,0.008283738137365288,0.00592,0.01011804384485666
_train_best_model,2088,5,0.6563406283904225,5055874,0.7222677142857142,0.0000619075109382596,96,240,192,80,16,16,16,16,0,0.009542307042729268,0.0074519434329748495,0.00937658388241257
_train_best_model,2088,6,0.731152788121391,5120973,0.7315675714285714,0.0000007499040122864273,96,240,176,80,16,16,16,16,0,0,0.00008287063893262616,0.00008304268393954493
_train_best_model,2088,7,0.6929047333211654,5034704,0.7192434285714285,0.0000251475321888412,96,240,176,80,16,16,16,16,0.0025292976983390947,0,0.003367570298029971,0.004638610103736189
_train_best_model,2088,8,0.026593678446334146,3658022,0.5225745714285714,0.000468011035207567,96,240,176,80,16,16,16,16,0.04570235471523025,0,0.06041980749159225,0.09227019498607242
_train_best_model,2088,9,0.5932530368869632,4778710,0.6826728571428572,0.00008504929649789463,96,176,192,80,16,16,16,16,0.008222811671087533,0,0.012005649717514125,0.015539466713755959
_train_best_model,2088,10,0.7236649566665,5096064,0.7280091428571429,0.000004529860842674913,96,176,192,80,16,16,16,16,0.000412847824291966,0,0.0007458357503936355,0.0005789909015715467
_train_best_model,2088,11,0.098343871474327,4094536,0.5849337142857143,0.0004599742376762685,96,176,192,80,16,16,16,16,0.04805800103573278,0.07364941638260511,0,0.07292851970621703
_train_best_model,2088,12,0.7318384307989514,5149934,0.7357048571428572,0.000004108696691528017,96,176,192,80,16,16,16,16,0.0000813868316106454,0.0010589768654284783,0,0.0004062068405231944
